run, ts, ppac, f2pl, f3pl, hwtriga, hwtrigb, refp, reft
507, 23357741314, 2849005, 0, 4658, 5564, 28574, 0, 40682
507, 23357813893, 2849145, 0, 4658, 5565, 28575, 0, 40682
507, 23358002592, 2849421, 0, 4658, 5566, 28576, 0, 40682
507, 23362679926, 2849748, 0, 4658, 5567, 28578, 0, 40682
507, 23362781117, 2849947, 0, 4658, 5568, 28579, 0, 40682
507, 23362875857, 2850078, 0, 4658, 5569, 28580, 0, 40682
507, 23362961428, 2850203, 0, 4658, 5570, 28581, 0, 40682
507, 23363027823, 2850321, 0, 4658, 5571, 28584, 0, 40682
507, 23367602823, 2850460, 0, 4658, 5572, 28589, 0, 40682
507, 23367705345, 2850675, 0, 4658, 5573, 28591, 0, 40682
507, 23367787000, 2850830, 0, 4658, 5574, 28594, 0, 40682
507, 23367836971, 2850906, 0, 4658, 5575, 28596, 0, 40682
507, 23367949183, 2851059, 0, 4659, 5576, 28598, 0, 40682
507, 23368000546, 2851171, 0, 4659, 5577, 28599, 0, 40682
507, 23368071805, 2851318, 0, 4659, 5578, 28601, 0, 40682
507, 23372636371, 2851433, 0, 4659, 5579, 28603, 0, 40682
507, 23372691990, 2851562, 0, 4659, 5580, 28605, 0, 40682
507, 23372825156, 2851853, 0, 4660, 5581, 28609, 0, 40682
507, 23372880279, 2851937, 0, 4660, 5582, 28611, 0, 40682
507, 23373003425, 2852140, 0, 4660, 5583, 28613, 0, 40682
507, 23373076592, 2852283, 0, 4660, 5584, 28616, 0, 40682
507, 23377617774, 2852365, 0, 4660, 5585, 28617, 0, 40682
507, 23377681089, 2852496, 0, 4660, 5586, 28621, 0, 40682
507, 23377878568, 2852870, 0, 4660, 5587, 28622, 0, 40682
507, 23378014020, 2853083, 0, 4661, 5588, 28624, 0, 40682
507, 23378072037, 2853205, 0, 4661, 5589, 28625, 0, 40682
507, 23382721004, 2853505, 0, 4661, 5590, 28626, 0, 40682
507, 23382795701, 2853649, 0, 4662, 5591, 28629, 0, 40682
507, 23382847722, 2853727, 0, 4662, 5592, 28630, 0, 40682
507, 23383030315, 2854016, 0, 4662, 5593, 28632, 0, 40682
507, 23387636254, 2854209, 0, 4662, 5594, 28634, 0, 40682
