run,ts,ppac,ppac_rate,f2pl,f2pl_rate,f3pl,f3pl_rate,hwtriga,hwtriga_rate,hwtrigb,hwtrigb_rate,refp,refp_rate,reft,reft_rate,livetime
425,371.056155,2959015,7974.57463,6,0.01617006,786,2.11827776,2863,7.71581326,3029,8.1631849,0,0,371,0.99984866,0.9451964345
426,1072.27344,8451179,7881.55212,32,0.02984313,2176,2.02933312,8239,7.68367443,8623,8.04179203,0,0,1072,0.99974499,0.9554679346
427,987.47464,7614965,7711.55501,24,0.02430442,2008,2.03346994,7520,7.61538545,7843,7.94248246,0,0,987,0.99951934,0.9588167793
428,780.327833,6049355,7752.32504,32,0.04100841,1631,2.09014715,5979,7.66216422,6265,8.02867684,0,0,780,0.99957988,0.9543495611
429,646.983212,5262569,8134.01168,34,0.0525516,1365,2.10979199,5031,7.77609049,5282,8.16404492,0,0,647,1.00002595,0.9524801212
430,782.330772,6292888,8043.76899,22,0.0281211,1648,2.10652586,6119,7.82149983,6415,8.19985642,0,0,783,1.00085543,0.953858145
431,2458.78791,19101593,7768.703,86,0.03497658,5011,2.03799603,18615,7.57080346,19477,7.9213827,0,0,2459,1.00008626,0.9557426708
433,273.391894,2274421,8319.27007,8,0.02926202,617,2.25683356,2099,7.67762339,2204,8.06168745,0,0,273,0.99856655,0.9523593466
434,367.190378,2732319,7441.15086,14,0.03812736,728,1.98262276,2620,7.13526322,2731,7.43755872,0,0,367,0.99948153,0.9593555474
435,989.372209,7413847,7493.4862,42,0.04245116,1966,1.98711868,7214,7.29149246,7526,7.60684395,0,0,989,0.99962379,0.9585437151
436,47.5456257,372021,7824.5053,6,0.12619457,104,2.18737262,363,7.63477175,380,7.99232305,0,0,48,1.0095566,0.9552631579
437,462.840033,3528365,7623.29261,12,0.02592688,942,2.03526042,3438,7.42805237,3602,7.78238646,0,0,463,1.00034562,0.954469739
438,566.288469,4218834,7449.97335,10,0.01765884,1103,1.94777055,4212,7.43790529,4392,7.75576449,0,0,566,0.9994906,0.9590163934
439,1001.02498,7654474,7646.63635,37,0.03696211,1971,1.96898183,7430,7.4223922,7786,7.77802768,0,0,1001,0.99997505,0.9542769073
440,963.272614,7349069,7629.27222,22,0.02283881,1810,1.87901117,7104,7.3748593,7388,7.66968757,0,0,963,0.99971699,0.9615592853
569,186.846738,2568544,13746.7961,0,0,4727,25.2988093,15707,84.0635495,28863,154.474198,1,0.00535198,187,1.00082026,0.5441915255
570,160.588784,2549050,15873.1509,0,0,4401,27.4054008,14479,90.1619628,26812,166.960601,1,0.00622708,161,1.00256067,0.5400193943
571,331.945335,5230740,15757.8355,0,0,8984,27.0646972,28810,86.7913989,54214,163.322072,1,0.00301254,332,1.00016468,0.5314125503
590,277.890186,1368711,4925.36645,0,0,13943,50.1744959,7714,27.7591667,8701,31.3109294,1,0.00359854,277,0.99679663,0.8865647627
592,326.108558,1632986,5007.49201,0,0,16831,51.6116476,9315,28.5641078,10540,32.3205256,1,0.00306646,326,0.99966711,0.8837760911
593,179.520625,891765,4967.47936,0,0,8987,50.0611001,4992,27.8073898,5679,31.6342481,1,0.00557039,179,0.99709991,0.8790279979
594,757,3897180,5148.19022,0,0,40108,52.9828269,21928,28.9669749,24873,32.8573316,1,0.001321,757,1,0.8815985205
595,522.851034,2755972,5271.04629,0,0,27881,53.32494,15208,29.0866787,17437,33.3498432,1,0.00191259,522,0.99837232,0.8721683776
596,382.668123,2028120,5299.94499,0,0,20118,52.5729707,11018,28.7925734,12509,32.6889,1,0.00261323,383,1.00086727,0.8808058198
598,1051.6827,5579459,5305.26842,0,0,56119,53.3611518,30484,28.985929,34943,33.225801,1,0.00095086,1052,1.00030171,0.8723921816
601,159.784499,2606920,16315.2247,0,0,6135,38.3954641,4715,29.5084944,5441,34.0521142,1,0.00625843,160,1.0013487,0.8665686455
602,187.191283,2779670,14849.356,0,0,6719,35.8937654,5162,27.5760704,5844,31.2194024,1,0.00534213,188,1.00432027,0.8832991102
603,848.348544,14075236,16591.3363,0,0,33553,39.5509608,25472,30.0253948,29512,34.7875884,1,0.00117876,839,0.9889803,0.8631065329
